TimeSec,Speed,Throttle,Brake,RPM,nGear,session_id,car_id,Speed_ms,Delta_KE,Acceleration,Longitudinal_G,Aero_Drag_N,Aero_Downforce_N,Effective_Weight_N,Brake_Work_EMA,Convective_Cooling_Factor,Wheel_Speed_ms,Slip_Ratio,Normal_Load_N,Tire_Load_Factor,Tire_Stress_Index,Thermal_Decay_Indicator,Calculated_Degradation_Index,Sustained_Tire_Decay_Flag,Brake_Temp_Target
0.0,309.6874992,100.0,0.0,11012.8437048,8.0,2023-Monza-R,VER,86.02430533333333,0.0,0.0,0.0,5212.502568005654,15864.138250451993,23692.518250451994,0.0,1.7646839825298852,86.02430533333333,0.0,23692.518250451994,3.0264905702651115,0.0,0.0,0.0,False,177.35297402620517
0.02,309.8306988749349,100.0,2.323251915055659e-39,11018.482787531244,8.0,2023-Monza-R,VER,86.06408302081525,6.845278131218038,1.9888843740957896,0.2027405070434036,5217.324210789331,15878.812815445792,23707.192815445793,2.370109362986998e-38,1.7653367450482607,86.06408302081525,0.0,23707.192815445793,3.0283651043313933,0.0,0.0,0.0,False,177.35199488242762
0.04,309.96221941724906,100.0,3.155615473715422e-39,11025.035315242407,8.0,2023-Monza-R,VER,86.1006165047914,6.289776291378985,1.826674198807865,0.186205320979395,5221.7545719645705,15892.296523370433,23720.676523370432,5.474062992269624e-38,1.7659362161602659,86.1006165047914,0.0,23720.676523370432,3.030087517899033,0.0,0.0,0.0,False,177.3510956757596
0.06,310.08483058158293,100.0,2.850661037179898e-39,11032.28466065811,8.0,2023-Monza-R,VER,86.13467516155082,5.866102680721269,1.7029328379706499,0.17359152272891434,5225.886508040304,15904.871980992231,23733.25198099223,8.11410023587195e-38,1.7664950324763606,86.13467516155082,0.0,23733.25198099223,3.0316939112552315,0.0,0.0,0.0,False,177.35025745128547
0.08,310.2013021225771,100.0,1.7619589666496957e-39,11040.014196502982,8.0,2023-Monza-R,VER,86.16702836738253,5.574512479425721,1.6176602915855653,0.16489911229210655,5229.8130552679995,15916.822342119998,23745.20234212,9.510926400333032e-38,1.767025825733902,86.16702836738253,0.0,23745.20234212,3.0332204545665897,0.0,0.0,0.0,False,177.34946126139914
0.1,310.3144037948723,100.0,2.4307962332541605e-40,11048.007295501644,8.0,2023-Monza-R,VER,86.19844549857564,5.415228705609479,1.5708565596554536,0.16012808966926131,5233.627406987513,15928.431238657648,23756.811238657647,9.284269330798396e-38,1.7675412234160295,86.19844549857564,0.0,23756.811238657647,3.0347033790717424,0.0,0.0,0.0,False,177.34868816487597
0.12,310.4269053531089,100.0,-1.3524066315923237e-39,11056.047330378724,8.0,2023-Monza-R,VER,86.22969593141914,5.38845405408847,1.5625216421753407,0.15927845485987163,5237.422899311861,15939.9827370361,23768.3627370361,7.434151005144476e-38,1.768053849143575,86.22969593141914,0.0,23768.3627370361,3.0361789715159584,0.0,0.0,0.0,False,177.34791922628463
0.14,310.54157655192756,100.0,-2.670929436902923e-39,11063.917673858849,8.0,2023-Monza-R,VER,86.2615490422021,5.494382735236286,1.592655539148069,0.16235020786422721,5241.293005150993,15951.761320024763,23780.141320024763,4.322988883776748e-38,1.76857632284081,86.2615490422021,0.0,23780.141320024763,3.0376835718277295,0.0,0.0,0.0,False,177.34713551573878
0.16,310.6611871459689,100.0,-3.358918431405771e-39,11071.401698666636,8.0,2023-Monza-R,VER,86.29477420721358,5.733212313734839,1.6612582505736384,0.16934334868232806,5245.33133657448,15964.051893922331,23792.43189392233,6.586366935953744e-39,1.7691212606757505,86.29477420721358,0.0,23792.43189392233,3.039253574037327,0.0,0.0,0.0,False,177.34631810898637
0.18,310.7885068898734,100.0,-3.062803253900263e-39,11078.282777526718,8.0,2023-Monza-R,VER,86.33014080274262,6.1051555473923145,1.768329776452049,0.1802578773141742,5249.631655513175,15977.139821127057,23805.519821127058,-2.521530505515765e-38,1.7697012747757244,86.33014080274262,0.0,23805.519821127058,3.040925430437339,0.0,0.0,0.0,False,177.34544808783642
0.2,310.9263055382818,100.0,-1.4290135431857877e-39,11084.344283163713,8.0,2023-Monza-R,VER,86.36841820507827,6.6104522259292935,1.91387011678259,0.19509379375969316,5254.2878927998145,15991.310978086392,23819.690978086393,-3.865386634528812e-38,1.770328972718966,86.36841820507827,0.0,23819.690978086393,3.042735658985179,0.0,0.0,0.0,False,177.34450654092154
0.22,311.0771928509453,100.0,1.824295863038262e-39,11089.381316034765,8.0,2023-Monza-R,VER,86.41033134748481,7.241700334820962,2.0956571203271324,0.21362457903436619,5259.388765473153,16006.835373179163,23835.215373179162,-1.7934493431159823e-38,1.7710162281002912,86.41033134748481,0.0,23835.215373179162,3.0447187506456204,0.0,0.0,0.0,False,177.34347565784955
0.24,311.24009870516613,100.0,5.329290552372543e-39,11093.458714444841,8.0,2023-Monza-R,VER,86.45558297365726,7.822463732818505,2.2625813086222024,0.23064029649563733,5264.898713364957,16023.604779806392,23851.984779806393,3.7910874040135475e-38,1.771758150202069,86.45558297365726,0.0,23851.984779806393,3.046860880515048,0.0,0.0,0.0,False,177.3423627746969
0.26,311.41027309579675,100.0,6.068456537717763e-39,11096.91105454674,8.0,2023-Monza-R,VER,86.50285363772132,8.17586015410052,2.3635332032029055,0.24093100950080584,5270.657584861002,16041.131780011747,23869.511780011748,9.866549560772692e-38,1.772533092462008,86.50285363772132,0.0,23869.511780011748,3.0490997856531936,0.0,0.0,0.0,False,177.341200361307
